Id,Prediccion
1,2
2,1
3,1
4,1
5,1
6,1
7,2
8,1
9,2
10,1
11,2
12,1
13,1
14,2
15,1
16,1
17,1
18,1
19,1
20,1
21,2
22,2
23,1
24,2
25,1
26,1
27,1
28,1
29,1
30,1
31,1
32,1
33,1
34,2
35,2
36,2
37,2
38,1
39,1
40,2
41,1
42,1
43,2
44,1
45,1
46,1
47,1
48,2
49,1
50,1
51,1
52,1
53,1
54,1
55,1
56,2
57,1
58,1
59,1
60,2
61,2
62,2
63,2
64,1
65,2
66,1
67,1
68,1
69,1
70,1
71,1
72,1
73,2
74,1
75,1
76,2
77,1
78,2
79,1
80,1
81,1
82,1
83,2
84,1
85,1
86,2
87,2
88,1
89,1
90,2
91,1
92,2
93,2
94,1
95,1
96,2
97,2
98,2
99,1
100,2
101,1
102,2
103,2
104,2
105,1
106,1
107,1
108,1
109,1
110,1
111,1
112,2
113,2
114,1
115,1
116,1
117,1
118,2
119,1
120,2
121,1
122,1
123,1
124,1
125,2
126,1
127,1
128,1
129,2
130,1
131,1
132,1
133,2
134,1
135,1
136,2
137,1
138,2
139,1
140,1
141,1
142,2
143,2
144,1
145,1
146,1
147,1
148,1
149,1
150,1
151,1
152,1
153,2
154,1
155,1
156,2
157,1
158,1
159,1
160,1
161,1
162,1
163,2
164,2
165,2
166,2
167,1
168,1
169,2
170,1
171,1
172,1
173,2
174,2
175,1
176,2
177,1
178,1
179,1
180,1
181,1
182,2
183,2
184,1
185,1
186,1
187,1
188,2
189,1
190,1
191,1
192,2
193,1
194,2
195,1
196,1
197,1
198,1
199,2
200,1
201,1
202,2
203,1
204,2
205,1
206,1
207,2
208,1
209,1
210,1
211,2
212,1
213,1
214,1
215,1
216,2
217,2
218,1
219,2
220,1
221,1
222,1
223,1
224,1
225,2
226,1
227,2
228,2
229,2
230,1
231,1
232,1
233,1
234,2
235,2
236,2
237,1
238,1
239,1
240,1
241,1
242,1
243,1
244,1
245,1
246,2
247,2
248,2
249,1
250,1
251,1
252,1
253,1
254,2
255,2
256,2
257,2
258,1
259,1
260,2
261,1
262,1
263,1
264,1
265,1
266,2
267,1
268,1
269,1
270,1
271,1
272,1
273,2
274,2
275,2
276,1
277,1
278,2
279,1
280,1
281,1
282,1
283,1
284,1
285,1
286,2
287,1
288,2
289,1
290,1
291,1
292,1
293,1
294,1
295,1
296,1
297,1
298,1
299,2
300,1
301,2
302,2
303,1
304,1
305,2
306,1
307,1
308,1
309,2
310,1
311,2
312,1
313,1
314,1
315,2
316,1
317,1
318,1
319,1
320,1
321,2
322,1
323,1
324,2
325,1
326,1
327,1
328,1
329,1
330,2
331,1
332,1
333,2
334,1
335,1
336,1
337,1
338,2
339,2
340,2
341,1
342,1
343,1
344,1
345,2
346,1
347,1
348,1
349,2
350,2
351,1
352,1
353,1
354,1
355,2
356,2
357,2
358,2
359,1
360,1
361,2
362,1
363,2
364,1
365,1
366,1
367,1
368,1
369,2
370,1
371,1
372,1
373,1
374,1
375,1
376,2
377,1
378,1
379,1
380,1
381,1
382,2
383,1
384,2
385,2
386,1
387,1
388,1
389,1
390,2
391,2
392,2
393,2
394,1
395,1
396,1
397,2
398,2
399,1
400,1
401,2
402,2
403,1
404,1
405,1
406,1
407,1
408,1
409,2
410,1
411,2
412,1
413,1
414,1
415,1
416,1
417,2
418,1
419,2
420,1
421,2
422,1
423,2
424,1
425,1
426,2
427,1
428,1
429,1
430,1
431,1
432,1
433,1
434,1
435,1
436,1
437,2
438,2
439,1
440,1
441,1
442,1
443,1
444,1
445,1
446,1
447,1
448,2
449,1
450,1
451,1
452,1
453,1
454,1
455,2
456,2
457,1
458,1
459,1
460,1
461,2
462,1
463,2
464,2
465,1
466,1
467,1
468,2
469,1
470,1
471,1
472,1
473,2
474,1
475,2
476,1
477,2
478,2
479,2
480,1
481,1
482,1
483,2
484,1
485,2
486,2
487,2
488,1
489,1
490,2
491,1
492,1
493,2
494,1
495,1
496,2
497,1
498,1
499,1
500,2
501,1
502,1
503,1
504,1
505,1
506,1
507,1
508,2
509,1
510,2
511,2
512,1
513,2
514,2
515,1
516,1
517,1
518,2
519,1
520,1
521,1
522,1
523,1
524,2
525,1
526,2
527,1
528,2
529,2
530,2
531,1
532,1
533,1
534,2
535,2
536,2
537,1
538,1
539,1
540,1
541,1
542,2
543,1
544,2
545,1
546,2
547,1
548,2
549,1
550,1
551,1
552,1
553,1
554,2
555,1
556,1
557,1
558,1
559,1
560,2
561,2
562,2
563,1
564,1
565,1
566,1
567,1
568,1
569,2
570,1
571,1
572,1
573,1
574,2
575,1
576,1
577,1
578,1
579,1
580,2
581,1
582,1
583,2
584,2
585,1
586,2
587,1
588,1
589,1
590,2
591,2
592,1
593,2
594,1
595,1
596,2
597,2
598,2
599,1
600,2
601,1
602,1
603,1
604,1
605,1
606,1
607,1
608,1
609,1
610,1
611,2
612,1
613,1
614,1
615,2
616,1
617,2
618,1
619,1
620,2
621,2
622,1
623,1
624,1
625,1
626,1
627,2
628,1
629,1
630,2
631,1
632,1
633,1
634,1
635,1
636,1
637,2
638,1
639,1
640,2
641,2
642,1
643,1
644,2
645,1
646,2
647,2
648,2
649,2
650,1
651,2
652,1
653,2
654,1
655,1
656,1
657,2
658,1
659,1
660,1
661,2
662,1
663,2
664,1
665,1
666,2
667,1
668,2
669,1
670,1
671,1
672,2
673,2
674,2
675,1
676,1
677,2
678,2
679,1
680,2
681,2
682,2
683,2
684,1
685,2
686,2
687,1
688,1
689,1
690,1
691,1
692,1
693,1
694,1
695,1
696,1
697,1
698,1
699,2
700,1
701,2
702,1
703,1
704,1
705,1
706,1
707,1
708,1
709,2
710,1
711,2
712,1
713,2
714,1
715,2
716,1
717,1
718,1
719,1
720,1
721,1
722,2
723,1
724,1
725,2
726,2
727,1
728,2
729,2
730,2
731,2
732,1
733,1
734,1
735,1
736,1
737,1
738,1
739,1
740,2
741,1
742,1
743,1
744,2
745,1
746,1
747,2
748,2
749,1
750,1
751,2
752,1
753,1
754,2
755,1
756,1
757,1
758,2
759,1
760,2
761,2
762,1
763,1
764,1
765,1
766,1
767,1
768,1
769,1
770,2
771,2
772,1
773,1
774,1
775,1
776,2
777,1
778,2
779,2
780,1
781,1
782,1
783,1
784,1
785,2
786,1
787,1
788,2
789,1
790,2
791,1
792,1
793,2
794,2
795,1
796,2
797,2
798,1
799,1
800,1
801,1
802,2
803,1
804,2
805,1
806,2
807,2
808,1
809,1
810,1
811,1
812,1
813,2
814,1
815,2
816,1
817,2
818,2
819,1
820,1
821,1
822,1
823,1
824,1
825,2
826,2
827,1
828,2
829,1
830,2
831,1
832,1
833,1
834,1
835,1
836,1
837,1
838,1
839,1
840,2
841,1
842,1
843,1
844,1
845,2
846,2
847,1
848,1
849,1
850,1
851,1
852,2
853,2
854,1
855,1
856,2
857,1
858,1
859,2
860,2
861,1
862,1
863,2
864,1
865,1
866,2
867,1
868,2
869,1
870,1
871,2
872,2
873,2
874,1
875,1
876,1
877,2
878,2
879,1
880,1
881,1
882,1
883,1
884,2
885,2
886,1
887,2
888,1
889,1
890,2
891,2
892,2
893,1
894,1
895,1
896,2
897,2
898,1
899,2
900,1
901,1
902,1
903,1
904,2
905,1
906,2
907,1
908,1
909,2
910,2
911,2
912,1
913,1
914,1
915,1
916,1
917,1
918,1
919,1
920,2
921,1
922,2
923,1
924,1
925,1
926,2
927,2
928,1
929,1
930,1
931,2
932,1
933,1
934,1
935,2
936,1
937,1
938,1
939,1
940,1
941,1
942,1
943,1
944,1
945,1
946,2
947,2
948,1
949,1
950,1
951,1
952,1
953,1
954,1
955,2
956,2
957,2
958,1
959,2
960,1
961,1
962,1
963,2
964,1
965,2
966,2
967,1
968,1
969,1
970,1
971,1
972,2
973,1
974,2
975,2
976,1
977,2
978,1
979,2
980,1
981,1
982,1
983,2
984,1
985,2
986,1
987,2
988,2
989,1
990,2
991,1
992,2
993,1
994,2
995,2
996,1
997,1
998,1
999,1
1000,1
1001,2
1002,1
1003,1
1004,1
1005,2
1006,1
1007,1
1008,1
1009,1
1010,2
1011,1
1012,1
1013,2
1014,1
1015,2
1016,1
1017,2
1018,2
1019,2
1020,1
1021,2
1022,1
1023,1
1024,1
1025,2
1026,2
1027,1
1028,2
1029,2
1030,1
1031,1
1032,2
1033,2
1034,1
1035,1
1036,1
1037,2
1038,1
1039,1
1040,1
1041,2
1042,1
1043,1
1044,1
1045,1
1046,2
1047,1
1048,1
1049,1
1050,2
1051,2
1052,2
1053,1
1054,1
1055,1
1056,1
1057,1
1058,2
1059,2
1060,2
1061,1
1062,2
1063,2
1064,1
1065,2
1066,2
1067,2
1068,1
1069,1
1070,1
1071,1
1072,2
1073,1
1074,2
1075,2
1076,2
1077,1
1078,2
1079,1
1080,2
1081,1
