Id,Prediction
1,1
2,1
3,0
4,0
5,0
6,0
7,0
8,0
9,1
10,0
11,0
12,0
13,0
14,1
15,0
16,1
17,0
18,0
19,0
20,0
21,1
22,1
23,0
24,1
25,0
26,0
27,0
28,0
29,1
30,0
31,0
32,1
33,0
34,1
35,1
36,1
37,1
38,0
39,0
40,0
41,0
42,1
43,1
44,0
45,1
46,0
47,1
48,0
49,0
50,0
51,0
52,0
53,0
54,0
55,0
56,0
57,0
58,1
59,0
60,0
61,1
62,0
63,1
64,1
65,0
66,1
67,0
68,0
69,1
70,1
71,0
72,0
73,1
74,0
75,1
76,0
77,0
78,1
79,0
80,0
81,1
82,1
83,1
84,0
85,1
86,1
87,0
88,0
89,1
90,0
91,1
92,1
93,1
94,0
95,1
96,0
97,0
98,0
99,0
100,1
101,1
102,1
103,1
104,1
105,0
106,1
107,0
108,1
109,0
110,0
111,1
112,1
113,0
114,0
115,0
116,0
117,0
118,1
119,0
120,1
121,1
122,1
123,0
124,0
125,1
126,0
127,0
128,0
129,1
130,1
131,1
132,0
133,0
134,0
135,1
136,0
137,0
138,1
139,0
140,0
141,0
142,0
143,1
144,0
145,1
146,0
147,1
148,1
149,1
150,0
151,0
152,0
153,1
154,0
155,0
156,0
157,0
158,1
159,0
160,0
161,0
162,0
163,1
164,0
165,1
166,0
167,0
168,0
169,1
170,1
171,1
172,0
173,0
174,1
175,0
176,1
177,0
178,0
179,0
180,0
181,0
182,1
183,1
184,1
185,1
186,0
187,0
188,1
189,0
190,1
191,1
192,1
193,0
194,1
195,0
196,0
197,1
198,0
199,1
200,0
201,1
202,0
203,0
204,1
205,0
206,1
207,1
208,0
209,0
210,1
211,1
212,1
213,1
214,0
215,0
216,1
217,1
218,1
219,1
220,1
221,0
222,0
223,0
224,1
225,1
226,0
227,1
228,1
229,1
230,0
231,1
232,1
233,0
234,0
235,0
236,1
237,0
238,1
239,1
240,1
241,0
242,0
243,1
244,1
245,0
246,1
247,1
248,1
249,1
250,0
251,0
252,1
253,0
254,1
255,1
256,0
257,1
258,0
259,1
260,1
261,1
262,0
263,0
264,0
265,0
266,1
267,0
268,0
269,0
270,0
271,0
272,0
273,1
274,1
275,0
276,0
277,0
278,1
279,1
280,1
281,1
282,0
283,1
284,0
285,1
286,0
287,1
288,0
289,0
290,0
291,0
292,0
293,1
294,0
295,0
296,0
297,1
298,0
299,1
300,1
301,1
302,1
303,1
304,0
305,1
306,0
307,0
308,1
309,1
310,1
311,1
312,0
313,0
314,0
315,0
316,1
317,1
318,0
319,0
320,1
321,1
322,0
323,0
324,1
325,0
326,0
327,0
328,1
329,0
330,1
331,1
332,1
333,1
334,1
335,1
336,0
337,1
338,0
339,1
340,1
341,1
342,0
343,0
344,0
345,0
346,0
347,0
348,0
349,1
350,1
351,0
352,1
353,1
354,0
355,1
356,1
357,0
358,0
359,0
360,0
361,1
362,0
363,1
364,1
365,0
366,0
367,0
368,0
369,1
370,0
371,0
372,0
373,0
374,0
375,1
376,1
377,0
378,0
379,0
380,1
381,1
382,1
383,0
384,1
385,1
386,0
387,0
388,0
389,0
390,0
391,1
392,1
393,1
394,0
395,0
396,0
397,1
398,0
399,0
400,0
401,1
402,1
403,0
404,0
405,0
406,0
407,0
408,0
409,1
410,0
411,1
412,1
413,1
414,0
415,1
416,1
417,1
418,0
419,0
420,1
421,1
422,1
423,0
424,0
425,0
426,1
427,0
428,0
429,0
430,0
431,1
432,1
433,0
434,0
435,1
436,1
437,0
438,1
439,0
440,0
441,0
442,0
443,0
444,1
445,0
446,0
447,1
448,0
449,0
450,1
451,1
452,0
453,1
454,0
455,1
456,0
457,0
458,0
459,0
460,0
461,0
462,1
463,1
464,1
465,1
466,0
467,1
468,1
469,0
470,1
471,0
472,1
473,1
474,0
475,1
476,0
477,1
478,0
479,1
480,1
481,0
482,1
483,1
484,0
485,1
486,1
487,1
488,0
489,0
490,1
491,0
492,0
493,1
494,0
495,1
496,1
497,0
498,0
499,0
500,1
501,0
502,1
503,0
504,0
505,1
506,0
507,1
508,1
509,0
510,1
511,1
512,0
513,1
514,1
515,0
516,0
517,0
518,0
519,0
520,0
521,1
522,0
523,0
524,1
525,0
526,0
527,0
528,1
529,1
530,1
531,0
532,0
533,0
534,0
535,1
536,0
537,1
538,1
539,0
540,1
541,0
542,0
543,0
544,1
545,0
546,1
547,0
548,1
549,0
550,0
551,0
552,0
553,0
554,0
555,1
556,1
557,0
558,0
559,0
560,1
561,1
562,0
563,0
564,0
565,0
566,0
567,0
568,0
569,1
570,1
571,0
572,0
573,0
574,0
575,0
576,0
577,0
578,1
579,0
580,1
581,0
582,0
583,1
584,1
585,1
586,0
587,0
588,0
589,0
590,1
591,1
592,0
593,1
594,0
595,1
596,1
597,1
598,1
599,0
600,1
601,0
